"STATISTIC","Statistic Label","TLIST(W1)","Week","C03935V04687","Mode of Transport","UNIT","VALUE"
"THA25C01","Passenger Journeys","2022W41","2022 Week 41","20","Bus, excluding Dublin Metro","Number","885730"
"THA25C01","Passenger Journeys","2022W41","2022 Week 41","30","Rail","Number","814269"
"THA25C01","Passenger Journeys","2022W41","2022 Week 41","40","All public transport, excluding LUAS","Number","4830259"
"THA25C01","Passenger Journeys","2022W42","2022 Week 42","10","Dublin Metro Bus","Number","3096053"
"THA25C01","Passenger Journeys","2022W42","2022 Week 42","20","Bus, excluding Dublin Metro","Number","866776"
"THA25C01","Passenger Journeys","2022W42","2022 Week 42","30","Rail","Number","824247"
"THA25C01","Passenger Journeys","2022W42","2022 Week 42","40","All public transport, excluding LUAS","Number","4787076"
"THA25C01","Passenger Journeys","2022W43","2022 Week 43","10","Dublin Metro Bus","Number","3157869"
"THA25C01","Passenger Journeys","2022W43","2022 Week 43","20","Bus, excluding Dublin Metro","Number","891987"
"THA25C01","Passenger Journeys","2022W43","2022 Week 43","30","Rail","Number","799752"
"THA25C01","Passenger Journeys","2022W43","2022 Week 43","40","All public transport, excluding LUAS","Number","4849608"
"THA25C01","Passenger Journeys","2022W44","2022 Week 44","10","Dublin Metro Bus","Number","2723592"
"THA25C01","Passenger Journeys","2022W44","2022 Week 44","20","Bus, excluding Dublin Metro","Number","736242"
"THA25C01","Passenger Journeys","2022W44","2022 Week 44","30","Rail","Number","767786"
"THA25C01","Passenger Journeys","2022W44","2022 Week 44","40","All public transport, excluding LUAS","Number","4227620"
"THA25C01","Passenger Journeys","2022W45","2022 Week 45","10","Dublin Metro Bus","Number","3157496"
"THA25C01","Passenger Journeys","2022W45","2022 Week 45","20","Bus, excluding Dublin Metro","Number","864536"
"THA25C01","Passenger Journeys","2022W45","2022 Week 45","30","Rail","Number","860900"
"THA25C01","Passenger Journeys","2022W45","2022 Week 45","40","All public transport, excluding LUAS","Number","4882932"
"THA25C01","Passenger Journeys","2022W46","2022 Week 46","10","Dublin Metro Bus","Number","3192643"
"THA25C01","Passenger Journeys","2022W46","2022 Week 46","20","Bus, excluding Dublin Metro","Number","891579"
"THA25C01","Passenger Journeys","2022W46","2022 Week 46","30","Rail","Number","863826"
"THA25C01","Passenger Journeys","2022W46","2022 Week 46","40","All public transport, excluding LUAS","Number","4948048"
"THA25C01","Passenger Journeys","2022W47","2022 Week 47","10","Dublin Metro Bus","Number","3114790"
"THA25C01","Passenger Journeys","2022W47","2022 Week 47","20","Bus, excluding Dublin Metro","Number","871810"
"THA25C01","Passenger Journeys","2022W47","2022 Week 47","30","Rail","Number","810472"
"THA25C01","Passenger Journeys","2022W47","2022 Week 47","40","All public transport, excluding LUAS","Number","4797072"
"THA25C01","Passenger Journeys","2022W48","2022 Week 48","10","Dublin Metro Bus","Number","3147713"
"THA25C01","Passenger Journeys","2022W48","2022 Week 48","20","Bus, excluding Dublin Metro","Number","852232"
"THA25C01","Passenger Journeys","2022W48","2022 Week 48","30","Rail","Number","810146"
"THA25C01","Passenger Journeys","2022W48","2022 Week 48","40","All public transport, excluding LUAS","Number","4810091"
"THA25C01","Passenger Journeys","2022W49","2022 Week 49","10","Dublin Metro Bus","Number","3073856"
"THA25C01","Passenger Journeys","2022W49","2022 Week 49","20","Bus, excluding Dublin Metro","Number","840769"
"THA25C01","Passenger Journeys","2022W49","2022 Week 49","30","Rail","Number","831900"
"THA25C01","Passenger Journeys","2022W49","2022 Week 49","40","All public transport, excluding LUAS","Number","4746525"
"THA25C01","Passenger Journeys","2022W50","2022 Week 50","10","Dublin Metro Bus","Number","3050335"
"THA25C01","Passenger Journeys","2022W50","2022 Week 50","20","Bus, excluding Dublin Metro","Number","800708"
"THA25C01","Passenger Journeys","2022W50","2022 Week 50","30","Rail","Number","805056"
"THA25C01","Passenger Journeys","2022W50","2022 Week 50","40","All public transport, excluding LUAS","Number","4656099"
"THA25C01","Passenger Journeys","2022W51","2022 Week 51","10","Dublin Metro Bus","Number","2741688"
"THA25C01","Passenger Journeys","2022W51","2022 Week 51","20","Bus, excluding Dublin Metro","Number","662302"
"THA25C01","Passenger Journeys","2022W51","2022 Week 51","30","Rail","Number","619257"
"THA25C01","Passenger Journeys","2022W51","2022 Week 51","40","All public transport, excluding LUAS","Number","4023247"
"THA25C01","Passenger Journeys","2022W52","2022 Week 52","10","Dublin Metro Bus","Number","2840848"
"THA25C01","Passenger Journeys","2022W52","2022 Week 52","20","Bus, excluding Dublin Metro","Number","478378"
"THA25C01","Passenger Journeys","2022W52","2022 Week 52","30","Rail","Number","410985"
"THA25C01","Passenger Journeys","2022W52","2022 Week 52","40","All public transport, excluding LUAS","Number","3730211"
"THA25C01","Passenger Journeys","2022W53","2022 Week 53","10","Dublin Metro Bus","Number",""
